Year,Country of Origin Code,Country of Asylum Code,Country of Origin Name,Country of Asylum Name,Refugees,Asylum seekers,Other people in need of international protection,Internally displaced persons,Stateless Persons,Others of concern to UNHCR,Host community
#date+year,#country+code+origin,#country+code+asylum,#country+name+origin,#country+name+asylum,#affected+refugees,#affected+asylum_seekers,#affected+oip,#affected+idps,#affected+stateless,#affected+others,#affected+hst
1992,UKR,DNK,Ukraine,Denmark,5,0,0,0,0,0,0
1992,UKR,NLD,Ukraine,Netherlands,13,0,0,0,0,0,0
1992,UKR,SWE,Ukraine,Sweden,14,0,0,0,0,0,0
1992,UKR,USA,Ukraine,United States of America,7,0,0,0,0,0,0
1993,UKR,DNK,Ukraine,Denmark,5,0,0,0,0,0,0
1993,UKR,NLD,Ukraine,Netherlands,13,0,0,0,0,0,0
1993,UKR,SWE,Ukraine,Sweden,43,0,0,0,0,0,0
1993,UKR,URY,Ukraine,Uruguay,11,0,0,0,0,0,0
1993,UKR,USA,Ukraine,United States of America,61,0,0,0,0,0,0
1994,UKR,ARG,Ukraine,Argentina,5,0,0,0,0,0,0
1994,UKR,CAN,Ukraine,Canada,462,0,0,0,0,0,0
1994,UKR,DNK,Ukraine,Denmark,5,0,0,0,0,0,0
1994,UKR,NLD,Ukraine,Netherlands,66,0,0,0,0,0,0
1994,UKR,ESP,Ukraine,Spain,5,0,0,0,0,0,0
1994,UKR,SWE,Ukraine,Sweden,109,0,0,0,0,0,0
1994,UKR,URY,Ukraine,Uruguay,13,0,0,0,0,0,0
1994,UKR,USA,Ukraine,United States of America,252,0,0,0,0,0,0
1995,UKR,CAN,Ukraine,Canada,594,0,0,0,0,0,0
1995,UKR,DNK,Ukraine,Denmark,5,0,0,0,0,0,0
1995,UKR,FRA,Ukraine,France,295,0,0,0,0,0,0
1995,UKR,NLD,Ukraine,Netherlands,133,0,0,0,0,0,0
1995,UKR,ESP,Ukraine,Spain,5,0,0,0,0,0,0
1995,UKR,SWE,Ukraine,Sweden,135,0,0,0,0,0,0
1995,UKR,URY,Ukraine,Uruguay,15,0,0,0,0,0,0
1995,UKR,USA,Ukraine,United States of America,520,0,0,0,0,0,0
1996,UKR,AUS,Ukraine,Australia,559,0,0,0,0,0,0
1996,UKR,BEL,Ukraine,Belgium,898,0,0,0,0,0,0
1996,UKR,CAN,Ukraine,Canada,698,0,0,0,0,0,0
1996,UKR,CHL,Ukraine,Chile,0,0,0,0,0,0,0
1996,UKR,CZE,Ukraine,Czechia,49,0,0,0,0,0,0
1996,UKR,DNK,Ukraine,Denmark,5,0,0,0,0,0,0
1996,UKR,FRA,Ukraine,France,292,0,0,0,0,0,0
1996,UKR,NLD,Ukraine,Netherlands,293,0,0,0,0,0,0
1996,UKR,PAN,Ukraine,Panama,5,0,0,0,0,0,0
1996,UKR,RUS,Ukraine,Russian Federation,2297,0,0,0,0,0,0
1996,UKR,ESP,Ukraine,Spain,6,0,0,0,0,0,0
1996,UKR,SWE,Ukraine,Sweden,157,0,0,0,0,0,0
1996,UKR,URY,Ukraine,Uruguay,12,0,0,0,0,0,0
1996,UKR,USA,Ukraine,United States of America,835,0,0,0,0,0,0
1997,UKR,AUS,Ukraine,Australia,266,0,0,0,0,0,0
1997,UKR,BEL,Ukraine,Belgium,898,0,0,0,0,0,0
1997,UKR,CAN,Ukraine,Canada,748,0,0,0,0,0,0
1997,UKR,CZE,Ukraine,Czechia,52,0,0,0,0,0,0
1997,UKR,DNK,Ukraine,Denmark,10,0,0,0,0,0,0
1997,UKR,FRA,Ukraine,France,325,0,0,0,0,0,0
1997,UKR,GEO,Ukraine,Georgia,5,0,0,0,0,0,0
1997,UKR,ITA,Ukraine,Italy,6,0,0,0,0,0,0
1997,UKR,NLD,Ukraine,Netherlands,338,0,0,0,0,0,0
1997,UKR,PAN,Ukraine,Panama,5,0,0,0,0,0,0
1997,UKR,RUS,Ukraine,Russian Federation,2326,0,0,0,0,0,0
1997,UKR,ESP,Ukraine,Spain,6,0,0,0,0,0,0
1997,UKR,SWE,Ukraine,Sweden,165,0,0,0,0,0,0
1997,UKR,URY,Ukraine,Uruguay,15,0,0,0,0,0,0
1997,UKR,USA,Ukraine,United States of America,1183,0,0,0,0,0,0
1998,UKR,AUS,Ukraine,Australia,23,0,0,0,0,0,0
1998,UKR,AUT,Ukraine,Austria,7,0,0,0,0,0,0
1998,UKR,BEL,Ukraine,Belgium,23,0,0,0,0,0,0
1998,UKR,BLR,Ukraine,Belarus,0,0,0,0,0,570,0
1998,UKR,CAN,Ukraine,Canada,643,0,0,0,0,0,0
1998,UKR,CZE,Ukraine,Czechia,52,0,0,0,0,0,0
1998,UKR,DNK,Ukraine,Denmark,20,0,0,0,0,0,0
1998,UKR,FIN,Ukraine,Finland,5,0,0,0,0,0,0
1998,UKR,FRA,Ukraine,France,384,0,0,0,0,0,0
1998,UKR,ISL,Ukraine,Iceland,5,0,0,0,0,0,0
1998,UKR,ITA,Ukraine,Italy,6,0,0,0,0,0,0
1998,UKR,NLD,Ukraine,Netherlands,373,0,0,0,0,0,0
1998,UKR,PAN,Ukraine,Panama,5,0,0,0,0,0,0
1998,UKR,RUS,Ukraine,Russian Federation,1394,0,0,0,0,0,0
1998,UKR,ESP,Ukraine,Spain,11,0,0,0,0,0,0
1998,UKR,SWE,Ukraine,Sweden,179,0,0,0,0,0,0
1998,UKR,CHE,Ukraine,Switzerland,6,0,0,0,0,0,0
1998,UKR,URY,Ukraine,Uruguay,22,0,0,0,0,0,0
1998,UKR,USA,Ukraine,United States of America,1441,0,0,0,0,0,0
1999,UKR,AUS,Ukraine,Australia,13,0,0,0,0,0,0
1999,UKR,AUT,Ukraine,Austria,8,0,0,0,0,0,0
1999,UKR,BEL,Ukraine,Belgium,23,0,0,0,0,0,0
1999,UKR,CAN,Ukraine,Canada,579,0,0,0,0,0,0
1999,UKR,CZE,Ukraine,Czechia,20,0,0,0,0,0,0
1999,UKR,DNK,Ukraine,Denmark,82,0,0,0,0,0,0
1999,UKR,FIN,Ukraine,Finland,5,0,0,0,0,0,0
1999,UKR,FRA,Ukraine,France,367,0,0,0,0,0,0
1999,UKR,HUN,Ukraine,Hungary,7,0,0,0,0,0,0
1999,UKR,ISL,Ukraine,Iceland,5,0,0,0,0,0,0
1999,UKR,IRL,Ukraine,Ireland,8,0,0,0,0,0,0
1999,UKR,ITA,Ukraine,Italy,6,0,0,0,0,0,0
1999,UKR,MEX,Ukraine,Mexico,6,0,0,0,0,0,0
1999,UKR,NLD,Ukraine,Netherlands,394,0,0,0,0,0,0
1999,UKR,NOR,Ukraine,Norway,6,0,0,0,0,0,0
1999,UKR,PAN,Ukraine,Panama,5,0,0,0,0,0,0
1999,UKR,RUS,Ukraine,Russian Federation,389,0,0,0,0,0,0
1999,UKR,ESP,Ukraine,Spain,25,0,0,0,0,0,0
1999,UKR,SWE,Ukraine,Sweden,179,0,0,0,0,0,0
1999,UKR,CHE,Ukraine,Switzerland,7,0,0,0,0,0,0
1999,UKR,URY,Ukraine,Uruguay,15,0,0,0,0,0,0
1999,UKR,USA,Ukraine,United States of America,10086,0,0,0,0,0,0
2000,UKR,ARG,Ukraine,Argentina,0,13,0,0,0,0,0
2000,UKR,AUS,Ukraine,Australia,20,203,0,0,0,0,0
2000,UKR,AUT,Ukraine,Austria,14,0,0,0,0,0,0
2000,UKR,BEL,Ukraine,Belgium,23,0,0,0,0,0,0
2000,UKR,CAN,Ukraine,Canada,547,553,0,0,0,0,0
2000,UKR,CZE,Ukraine,Czechia,18,935,0,0,0,0,0
2000,UKR,DNK,Ukraine,Denmark,98,31,0,0,0,0,0
2000,UKR,ETH,Ukraine,Ethiopia,0,0,0,0,0,0,0
2000,UKR,FIN,Ukraine,Finland,7,0,0,0,0,0,0
2000,UKR,FRA,Ukraine,France,363,0,0,0,0,0,0
2000,UKR,GBR,Ukraine,United Kingdom of Great Britain and Northern Ireland,230,0,0,0,0,0,0
2000,UKR,DEU,Ukraine,Germany,0,131,0,0,0,0,0
2000,UKR,HUN,Ukraine,Hungary,10,5,0,0,0,0,0
2000,UKR,ISL,Ukraine,Iceland,5,0,0,0,0,0,0
2000,UKR,IRL,Ukraine,Ireland,10,0,0,0,0,0,0
2000,UKR,ITA,Ukraine,Italy,11,0,0,0,0,0,0
2000,UKR,MEX,Ukraine,Mexico,6,0,0,0,0,0,0
2000,UKR,NLD,Ukraine,Netherlands,422,373,0,0,0,0,0
2000,UKR,NOR,Ukraine,Norway,8,0,0,0,0,0,0
2000,UKR,RUS,Ukraine,Russian Federation,20,0,0,0,0,0,0
2000,UKR,ESP,Ukraine,Spain,42,0,0,0,0,0,0
2000,UKR,SWE,Ukraine,Sweden,203,0,0,0,0,0,0
2000,UKR,CHE,Ukraine,Switzerland,8,62,0,0,0,0,0
2000,UKR,UKR,Ukraine,Ukraine,0,0,0,0,0,96,0
2000,UKR,URY,Ukraine,Uruguay,14,0,0,0,0,0,0
2000,UKR,USA,Ukraine,United States of America,17231,732,0,0,0,0,0
2001,UKR,ARG,Ukraine,Argentina,0,25,0,0,0,0,0
2001,UKR,AUS,Ukraine,Australia,27,259,0,0,0,0,0
2001,UKR,AUT,Ukraine,Austria,19,0,0,0,0,0,0
2001,UKR,BEL,Ukraine,Belgium,188,0,0,0,0,0,0
2001,UKR,CAN,Ukraine,Canada,726,546,0,0,0,0,0
2001,UKR,CYP,Ukraine,Cyprus,0,20,0,0,0,0,0
2001,UKR,CZE,Ukraine,Czechia,21,3564,0,0,0,0,0
2001,UKR,DNK,Ukraine,Denmark,59,25,0,0,0,0,0
2001,UKR,ECU,Ukraine,Ecuador,0,5,0,0,0,0,0
2001,UKR,FIN,Ukraine,Finland,11,0,0,0,0,0,0
2001,UKR,FRA,Ukraine,France,407,0,0,0,0,0,0
2001,UKR,GBR,Ukraine,United Kingdom of Great Britain and Northern Ireland,260,0,0,0,0,0,0
2001,UKR,DEU,Ukraine,Germany,0,211,0,0,0,0,0
2001,UKR,HUN,Ukraine,Hungary,10,12,0,0,0,0,0
