Region,All total immigrants,All total emigrants,All migration increase(decrease),Inter-state total immigrants,Inter-state total emigrants,Inter-state migration increase(decrease)
Ukraine,576032,554520,21512,45011,26789,18222
Vinnytsya,21049,23773,-2724,689,283,406
Volyn,14641,15638,-997,266,655,-389
Dnipropetrovsk,34983,36409,-1426,2001,972,1029
Donetsk,17304,24984,-7680,726,567,159
Zhytomyr,20231,21898,-1667,568,316,252
Zakarpattya,7247,7747,-500,676,923,-247
Zaporizhya,16761,18916,-2155,1000,495,505
Ivano-Frankivsk,16578,16310,268,895,952,-57
Kyiv,59518,32175,27343,2525,867,1658
Kirovohrad,13364,16709,-3345,488,396,92
Luhansk,7131,12071,-4940,386,417,-31
Lviv,35083,33984,1099,1431,1483,-52
Mykolayiv,12534,14647,-2113,800,352,448
Odesa,38529,29454,9075,6289,942,5347
Poltava,25659,25248,411,1937,1083,854
Rivne,18563,21037,-2474,341,1320,-979
Sumy,16979,19229,-2250,1056,489,567
Ternopil,16232,16558,-326,1446,743,703
Kharkiv,48296,42860,5436,8723,5670,3 053
Kherson,11736,13810,-2074,145,207,-62
Khmelnytskiy,22232,22775,-543,708,372,336
Cherkasy,18204,20336,-2132,446,416,30
Chernivtsi,9627,9580,47,1091,841,250
Chernihiv,13211,15207,-1996,150,147,3
City of Kyiv,60340,43165,17175,10228,5881,4347
